user_message,anger_level,frustration_level,anxiety_level,calm_level,sentiment_negative,sentiment_neutral,sentiment_positive,intent,urgency,agent_emotion,tone,empathy_level,verbosity,formality,assertiveness,apology_required,reassurance_level,solution_speed,boundary_setting,explanation_depth
I want this escalated to your highest level. This is unacceptable.,0.876,0.663,0.552,0.174,0.515,0.248,0.026,escalation_request,low,sad,calm,high,high,high,high,True,high,slow,True,low
Connect me to someone senior who has the authority to fix this.,0.668,0.897,0.264,0.164,0.916,0.152,0.001,escalation_request,low,empathetic,calm,high,high,high,high,True,low,slow,False,low
Can you walk me through the process one more time?,0.086,0.347,0.592,0.553,0.178,0.554,0.262,clarification,high,calm,neutral,medium,low,low,low,False,high,fast,False,high
This needs management attention. Regular support isn't cutting it.,0.89,0.643,0.504,0.108,0.981,0.103,0.127,escalation_request,low,empathetic,calm,high,high,high,high,True,high,slow,True,low
This needs management attention. Regular support isn't cutting it.,0.966,0.641,0.575,0.138,0.534,0.09,0.142,escalation_request,high,empathetic,calm,high,low,high,high,True,high,fast,True,low
The quality of your service has gone downhill. Very frustrated customer here.,0.44,0.749,0.238,0.186,0.523,0.261,0.195,complaint,high,empathetic,calm,high,low,high,medium,True,low,fast,False,low
What are the available options for billing?,0.194,0.15,0.052,0.879,0.107,0.309,0.197,inquiry,medium,neutral,neutral,low,medium,low,low,False,low,normal,False,low
I read the FAQ but I'm still confused about shipping.,0.147,0.408,0.473,0.478,0.182,0.699,0.228,clarification,medium,reassuring,neutral,medium,medium,low,low,False,medium,normal,False,high
"If this isn't resolved today, I'm taking this to consumer protection.",0.726,0.665,0.518,0.139,0.61,0.025,0.136,escalation_request,medium,sad,calm,high,medium,high,high,True,high,normal,False,low
The error message says 'Connection timeout'. What does this mean?,0.196,0.209,0.58,0.36,0.23,0.677,0.226,clarification,medium,reassuring,neutral,low,medium,low,low,False,high,normal,False,high
This is the worst customer experience I've ever had. Completely unacceptable.,0.783,0.639,0.21,0.295,0.705,0.268,0.046,complaint,high,empathetic,calm,high,low,high,medium,True,low,fast,False,low
The instructions are confusing. Can you explain step 2 again?,0.064,0.112,0.461,0.447,0.359,0.489,0.39,clarification,low,reassuring,neutral,low,high,low,low,False,medium,slow,False,high
Your product broke after just 2 days. I want a full refund immediately.,0.511,0.921,0.411,0.231,0.922,0.228,0.125,complaint,low,empathetic,calm,high,high,high,medium,True,medium,slow,False,low
I appreciate the prompt response. You guys are great!,0.013,0.003,0.184,0.885,0.08,0.096,0.735,praise,low,friendly,friendly,low,high,low,low,False,low,slow,False,low
I'd like to know more about your basic service. Can you help?,0.025,0.137,0.172,0.6,0.247,0.326,0.275,inquiry,medium,neutral,neutral,low,medium,low,low,False,low,normal,False,low
I want this escalated to your highest level. This is unacceptable.,0.634,0.919,0.324,0.091,0.506,0.022,0.078,escalation_request,high,empathetic,calm,high,low,high,high,True,medium,fast,False,low
I'm lost. Can you help me understand what went wrong?,0.144,0.34,0.317,0.578,0.358,0.612,0.112,clarification,low,reassuring,neutral,medium,high,low,low,False,medium,slow,False,high
I just wanted to say how impressed I am with your service.,0.048,0.01,0.048,0.996,0.014,0.1,0.885,praise,high,friendly,friendly,low,low,low,low,False,low,fast,False,low
I'd like to know more about your premium service. Can you help?,0.14,0.112,0.004,0.663,0.255,0.335,0.205,inquiry,medium,neutral,neutral,low,medium,low,low,False,low,normal,False,low
Can you walk me through the process one more time?,0.01,0.131,0.359,0.353,0.27,0.576,0.34,clarification,high,calm,neutral,low,low,low,low,False,medium,fast,False,high
Your representatives have been unhelpful. Get me a manager now.,0.6,0.667,0.242,0.127,0.853,0.009,0.187,escalation_request,high,empathetic,calm,high,low,high,high,True,low,fast,False,low
Your product broke after just 2 days. I want a full refund immediately.,0.431,0.725,0.384,0.261,0.857,0.241,0.068,complaint,high,empathetic,calm,high,low,high,medium,True,medium,fast,False,low
I'm lost. Can you help me understand what went wrong?,0.244,0.132,0.558,0.519,0.345,0.481,0.293,clarification,high,calm,neutral,low,low,low,low,False,high,fast,False,high
Kudos to your team for going above and beyond!,0.053,0.073,0.016,0.718,0.025,0.032,0.962,praise,low,friendly,friendly,low,high,low,low,False,low,slow,False,low
Kudos to your team for going above and beyond!,0.022,0.098,0.067,0.755,0.079,0.132,0.849,praise,medium,friendly,friendly,low,medium,low,low,False,low,normal,False,low
My account has been charged incorrectly 2 times now. Fix this!,0.733,0.832,0.191,0.299,0.987,0.195,0.04,complaint,high,sad,calm,high,low,high,medium,True,low,fast,False,low
Connect me to someone senior who has the authority to fix this.,0.84,0.629,0.212,0.052,0.731,0.26,0.145,escalation_request,low,sad,calm,high,high,high,high,True,low,slow,True,low
I demand to speak with someone who can actually help me.,0.871,0.77,0.338,0.074,0.994,0.012,0.173,escalation_request,high,sad,calm,high,low,high,high,True,medium,fast,True,low
How do I update my account information?,0.116,0.088,0.29,0.743,0.362,0.66,0.227,inquiry,high,neutral,neutral,low,low,low,low,False,low,fast,False,low
What exactly do I need to do to resolve this issue?,0.083,0.337,0.565,0.384,0.287,0.553,0.32,clarification,high,calm,neutral,medium,low,low,low,False,high,fast,False,high
Connect me to someone senior who has the authority to fix this.,0.566,0.886,0.564,0.036,0.619,0.291,0.036,escalation_request,medium,empathetic,calm,high,medium,high,high,True,high,normal,False,low
Kudos to your team for going above and beyond!,0.085,0.049,0.049,0.961,0.045,0.103,0.808,praise,medium,friendly,friendly,low,medium,low,low,False,low,normal,False,low
Could you explain how the two-factor authentication feature works?,0.119,0.033,0.156,0.985,0.177,0.563,0.198,inquiry,low,neutral,neutral,low,high,low,low,False,low,slow,False,low
What are your business hours for customer support?,0.155,0.026,0.388,0.727,0.171,0.329,0.151,inquiry,medium,neutral,neutral,low,medium,low,low,False,medium,normal,False,low
I'm so grateful for your help. You made my day!,0.052,0.034,0.166,0.829,0.025,0.123,0.912,praise,high,friendly,friendly,low,low,low,low,False,low,fast,False,low
I'm not tech-savvy. Could you explain this in simpler terms?,0.05,0.167,0.215,0.595,0.299,0.49,0.353,clarification,low,neutral,neutral,low,high,low,low,False,low,slow,False,high
I'm not tech-savvy. Could you explain this in simpler terms?,0.242,0.334,0.547,0.382,0.134,0.408,0.117,clarification,low,calm,neutral,medium,high,low,low,False,high,slow,False,high
I read the FAQ but I'm still confused about returns.,0.159,0.475,0.216,0.349,0.236,0.674,0.195,clarification,medium,neutral,neutral,medium,medium,low,low,False,low,normal,False,high
This was the best customer service experience I've ever had!,0.051,0.004,0.03,0.996,0.097,0.001,0.986,praise,high,friendly,friendly,low,low,low,low,False,low,fast,False,low
"I was worried, but you fixed everything perfectly. Thank you!",0.064,0.087,0.091,0.855,0.049,0.133,0.742,praise,low,friendly,friendly,low,high,low,low,False,low,slow,False,low
I'm interested in learning about your pricing plans.,0.006,0.062,0.282,0.601,0.302,0.688,0.128,inquiry,low,neutral,neutral,low,high,low,low,False,low,slow,False,low
I want to file a formal complaint and speak to a supervisor.,0.836,0.778,0.547,0.035,0.846,0.251,0.189,escalation_request,medium,empathetic,calm,high,medium,high,high,True,high,normal,True,low
I've had enough of the runaround. Escalate this immediately.,0.842,0.799,0.447,0.174,0.785,0.009,0.186,escalation_request,high,sad,calm,high,low,high,high,True,medium,fast,True,low
I can't believe how poorly I've been treated. This is ridiculous!,0.814,0.806,0.186,0.198,0.697,0.195,0.021,complaint,low,empathetic,calm,high,high,high,high,True,low,slow,True,low
Your representatives have been unhelpful. Get me a manager now.,0.829,1.0,0.219,0.195,0.703,0.261,0.156,escalation_request,high,sad,calm,high,low,high,high,True,low,fast,True,low
Excellent service! I'll definitely recommend you to others.,0.057,0.074,0.176,0.821,0.033,0.134,0.942,praise,medium,friendly,friendly,low,medium,low,low,False,low,normal,False,low
Kudos to your team for going above and beyond!,0.076,0.08,0.087,0.945,0.012,0.109,0.702,praise,high,friendly,friendly,low,low,low,low,False,low,fast,False,low
I want to file a formal complaint and speak to a supervisor.,0.662,0.747,0.358,0.139,0.694,0.135,0.048,escalation_request,high,empathetic,calm,high,low,high,high,True,medium,fast,False,low
I'm not tech-savvy. Could you explain this in simpler terms?,0.112,0.191,0.229,0.541,0.3,0.548,0.239,clarification,medium,neutral,neutral,low,medium,low,low,False,low,normal,False,high
The error message says 'Connection timeout'. What does this mean?,0.114,0.445,0.408,0.492,0.108,0.436,0.214,clarification,medium,reassuring,neutral,medium,medium,low,low,False,medium,normal,False,high
Your product broke after just 5 days. I want a full refund immediately.,0.639,0.748,0.313,0.182,0.882,0.244,0.144,complaint,high,empathetic,calm,high,low,high,medium,True,medium,fast,False,low
This is the worst customer experience I've ever had. Completely unacceptable.,0.973,0.411,0.178,0.002,0.824,0.269,0.049,complaint,high,empathetic,calm,high,low,high,high,True,low,fast,True,low
I have a question about my recent bill. Can someone explain it?,0.185,0.012,0.374,0.676,0.13,0.494,0.177,inquiry,low,neutral,neutral,low,high,low,low,False,medium,slow,False,low
I'm lost. Can you help me understand what went wrong?,0.085,0.223,0.521,0.516,0.193,0.544,0.315,clarification,high,reassuring,neutral,low,low,low,low,False,high,fast,False,high
I can't believe how poorly I've been treated. This is ridiculous!,0.564,0.648,0.149,0.054,0.841,0.054,0.105,complaint,low,empathetic,calm,high,high,high,medium,True,low,slow,False,low
What are the available options for returns?,0.142,0.021,0.227,0.628,0.389,0.493,0.342,inquiry,medium,neutral,neutral,low,medium,low,low,False,low,normal,False,low
This is the worst customer experience I've ever had. Completely unacceptable.,0.73,0.426,0.353,0.285,0.801,0.246,0.177,complaint,high,empathetic,calm,high,low,high,medium,True,medium,fast,False,low
I don't understand the email you sent. Could you clarify what you mean?,0.068,0.185,0.444,0.464,0.352,0.66,0.206,clarification,low,reassuring,neutral,low,high,low,low,False,medium,slow,False,high
Your team resolved my issue so quickly. Amazing!,0.024,0.078,0.055,0.947,0.042,0.134,0.729,praise,medium,friendly,friendly,low,medium,low,low,False,low,normal,False,low
I need to speak to a supervisor immediately.,0.812,0.781,0.435,0.034,0.868,0.259,0.043,escalation_request,low,sad,calm,high,high,high,high,True,medium,slow,True,low
I've had enough of the runaround. Escalate this immediately.,0.548,0.609,0.457,0.121,0.773,0.07,0.078,escalation_request,medium,empathetic,calm,high,medium,high,high,True,medium,normal,False,low
I don't understand the email you sent. Could you clarify what you mean?,0.178,0.299,0.595,0.355,0.309,0.462,0.228,clarification,low,reassuring,neutral,low,high,low,low,False,high,slow,False,high
This has gone on too long. Please escalate my case to management.,0.859,0.877,0.597,0.026,0.552,0.217,0.116,escalation_request,low,sad,calm,high,high,high,high,True,high,slow,True,low
This needs management attention. Regular support isn't cutting it.,0.637,0.632,0.234,0.179,0.596,0.097,0.045,escalation_request,low,empathetic,calm,high,high,high,high,True,low,slow,False,low
Why hasn't anyone fixed my problem yet? This is the 5th time I'm contacting you!,0.613,0.442,0.308,0.02,0.9,0.07,0.108,complaint,low,neutral,calm,high,high,high,medium,True,medium,slow,False,low
I'm extremely disappointed with your service. My order #11111 is wrong item.,0.928,0.791,0.313,0.097,0.667,0.201,0.199,complaint,low,empathetic,calm,high,high,high,high,True,medium,slow,True,low
Excellent service! I'll definitely recommend you to others.,0.066,0.056,0.146,0.84,0.006,0.112,0.987,praise,medium,friendly,friendly,low,medium,low,low,False,low,normal,False,low
This needs management attention. Regular support isn't cutting it.,0.588,0.876,0.28,0.107,0.548,0.135,0.151,escalation_request,medium,empathetic,calm,high,medium,high,high,True,low,normal,False,low
This needs management attention. Regular support isn't cutting it.,0.674,0.866,0.518,0.185,0.617,0.12,0.03,escalation_request,medium,empathetic,calm,high,medium,high,high,True,high,normal,False,low
Your support team is fantastic. Keep up the great work!,0.099,0.093,0.108,0.953,0.052,0.125,0.727,praise,low,friendly,friendly,low,high,low,low,False,low,slow,False,low
Your product broke after just 5 days. I want a full refund immediately.,0.853,0.477,0.43,0.235,0.854,0.011,0.061,complaint,low,empathetic,calm,high,high,high,high,True,medium,slow,True,low
What are the available options for billing?,0.053,0.072,0.035,0.968,0.266,0.422,0.219,inquiry,low,neutral,neutral,low,high,low,low,False,low,slow,False,low
What's the expected delivery time for rural areas?,0.089,0.12,0.206,0.96,0.249,0.697,0.355,inquiry,low,neutral,neutral,low,high,low,low,False,low,slow,False,low
This was the best customer service experience I've ever had!,0.021,0.093,0.023,0.945,0.038,0.176,0.96,praise,medium,friendly,friendly,low,medium,low,low,False,low,normal,False,low
I can't believe how poorly I've been treated. This is ridiculous!,0.884,0.874,0.222,0.024,0.701,0.052,0.139,complaint,low,sad,calm,high,high,high,high,True,low,slow,True,low
Your representatives have been unhelpful. Get me a manager now.,0.673,0.99,0.456,0.164,0.566,0.259,0.185,escalation_request,low,empathetic,calm,high,high,high,high,True,medium,slow,False,low
I'm lost. Can you help me understand what went wrong?,0.146,0.343,0.506,0.37,0.251,0.459,0.144,clarification,high,calm,neutral,medium,low,low,low,False,high,fast,False,high
I'd like to know more about your basic service. Can you help?,0.074,0.014,0.01,0.568,0.389,0.52,0.39,inquiry,medium,neutral,neutral,low,medium,low,low,False,low,normal,False,low
What are the available options for billing?,0.086,0.062,0.202,0.72,0.132,0.556,0.165,inquiry,medium,neutral,neutral,low,medium,low,low,False,low,normal,False,low
I can't believe how poorly I've been treated. This is ridiculous!,0.772,0.79,0.161,0.018,0.89,0.138,0.012,complaint,low,sad,calm,high,high,high,medium,True,low,slow,False,low
I've had enough of the runaround. Escalate this immediately.,0.997,0.623,0.478,0.197,0.62,0.043,0.024,escalation_request,low,sad,calm,high,high,high,high,True,medium,slow,True,low
I want to file a formal complaint and speak to a supervisor.,0.652,0.64,0.477,0.012,0.755,0.299,0.163,escalation_request,medium,empathetic,calm,high,medium,high,high,True,medium,normal,False,low
Excellent service! I'll definitely recommend you to others.,0.062,0.031,0.125,0.858,0.043,0.026,0.966,praise,medium,friendly,friendly,low,medium,low,low,False,low,normal,False,low
This is unacceptable! I've been waiting for 7 days and still no response.,0.67,0.517,0.247,0.124,0.914,0.22,0.154,complaint,high,calm,calm,high,low,high,medium,True,low,fast,False,low
The error message says 'Connection timeout'. What does this mean?,0.003,0.266,0.393,0.308,0.178,0.604,0.141,clarification,high,calm,neutral,low,low,low,low,False,medium,fast,False,high
Nobody seems to care about my problem. I've been passed around 2 times.,0.721,0.529,0.105,0.072,0.988,0.24,0.192,complaint,low,sad,calm,high,high,high,medium,True,low,slow,False,low
Your team resolved my issue so quickly. Amazing!,0.049,0.011,0.11,0.836,0.084,0.02,0.846,praise,low,friendly,friendly,low,high,low,low,False,low,slow,False,low
I've had enough of the runaround. Escalate this immediately.,0.575,0.73,0.495,0.095,0.688,0.118,0.092,escalation_request,high,empathetic,calm,high,low,high,high,True,medium,fast,False,low
I'm lost. Can you help me understand what went wrong?,0.236,0.457,0.582,0.615,0.195,0.575,0.231,clarification,low,reassuring,neutral,medium,high,low,low,False,high,slow,False,high
I've had enough of the runaround. Escalate this immediately.,0.627,0.936,0.215,0.18,0.731,0.191,0.132,escalation_request,low,empathetic,calm,high,high,high,high,True,low,slow,False,low
I read the FAQ but I'm still confused about returns.,0.269,0.355,0.446,0.327,0.256,0.36,0.321,clarification,medium,reassuring,neutral,medium,medium,low,low,False,medium,normal,False,high
My account has been charged incorrectly 5 times now. Fix this!,0.707,0.808,0.117,0.025,0.858,0.022,0.014,complaint,low,sad,calm,high,high,high,medium,True,low,slow,False,low
Can you walk me through the process one more time?,0.004,0.483,0.495,0.441,0.189,0.44,0.332,clarification,high,reassuring,neutral,medium,low,low,low,False,medium,fast,False,high
Excellent service! I'll definitely recommend you to others.,0.066,0.019,0.035,0.73,0.066,0.153,0.78,praise,low,friendly,friendly,low,high,low,low,False,low,slow,False,low
I can't believe how poorly I've been treated. This is ridiculous!,0.413,0.449,0.487,0.089,0.885,0.187,0.076,complaint,medium,neutral,neutral,medium,medium,high,medium,True,medium,normal,False,low
Can you walk me through the process one more time?,0.062,0.149,0.446,0.61,0.293,0.512,0.113,clarification,low,reassuring,neutral,low,high,low,low,False,medium,slow,False,high
"I was worried, but you fixed everything perfectly. Thank you!",0.097,0.08,0.059,0.994,0.06,0.116,0.924,praise,low,friendly,friendly,low,high,low,low,False,low,slow,False,low
I need to speak to a supervisor immediately.,0.906,0.863,0.251,0.068,0.964,0.067,0.074,escalation_request,medium,empathetic,calm,high,medium,high,high,True,low,normal,True,low
Your support team is fantastic. Keep up the great work!,0.043,0.044,0.123,0.983,0.024,0.024,0.759,praise,medium,friendly,friendly,low,medium,low,low,False,low,normal,False,low
I've had enough of the runaround. Escalate this immediately.,0.943,0.858,0.314,0.163,0.931,0.254,0.184,escalation_request,high,empathetic,calm,high,low,high,high,True,medium,fast,True,low
How do I update my account information?,0.05,0.151,0.184,0.921,0.319,0.611,0.297,inquiry,medium,neutral,neutral,low,medium,low,low,False,low,normal,False,low
I have a question about my recent bill. Can someone explain it?,0.035,0.109,0.394,0.969,0.113,0.366,0.14,inquiry,medium,neutral,neutral,low,medium,low,low,False,medium,normal,False,low
I need to speak to a supervisor immediately.,0.863,0.927,0.285,0.101,0.92,0.22,0.108,escalation_request,low,empathetic,calm,high,high,high,high,True,low,slow,True,low
How do I update my account information?,0.118,0.102,0.119,0.783,0.307,0.649,0.291,inquiry,medium,neutral,neutral,low,medium,low,low,False,low,normal,False,low
The quality of your service has gone downhill. Very frustrated customer here.,0.857,0.496,0.285,0.003,0.623,0.218,0.198,complaint,high,empathetic,calm,high,low,high,high,True,low,fast,True,low
I have a question about my recent bill. Can someone explain it?,0.02,0.08,0.32,0.602,0.267,0.593,0.285,inquiry,low,neutral,neutral,low,high,low,low,False,medium,slow,False,low
Why hasn't anyone fixed my problem yet? This is the 6th time I'm contacting you!,0.513,0.613,0.414,0.166,0.503,0.228,0.007,complaint,high,empathetic,calm,high,low,high,medium,True,medium,fast,False,low
The error message says 'Invalid credentials'. What does this mean?,0.224,0.181,0.583,0.447,0.198,0.36,0.192,clarification,high,reassuring,neutral,low,low,low,low,False,high,fast,False,high
I've had enough of the runaround. Escalate this immediately.,0.938,0.999,0.347,0.09,0.861,0.266,0.119,escalation_request,low,empathetic,calm,high,high,high,high,True,medium,slow,True,low
This needs management attention. Regular support isn't cutting it.,0.696,0.765,0.478,0.001,0.81,0.107,0.159,escalation_request,low,empathetic,calm,high,high,high,high,True,medium,slow,False,low
Your team resolved my issue so quickly. Amazing!,0.009,0.059,0.096,0.893,0.006,0.116,0.868,praise,high,friendly,friendly,low,low,low,low,False,low,fast,False,low
The quality of your service has gone downhill. Very frustrated customer here.,0.736,0.762,0.371,0.241,0.635,0.248,0.1,complaint,medium,sad,calm,high,medium,high,medium,True,medium,normal,False,low
Thank you so much! Maria was incredibly helpful!,0.008,0.006,0.067,0.935,0.071,0.158,0.855,praise,medium,friendly,friendly,low,medium,low,low,False,low,normal,False,low
I'm lost. Can you help me understand what went wrong?,0.132,0.159,0.331,0.474,0.127,0.388,0.279,clarification,high,reassuring,neutral,low,low,low,low,False,medium,fast,False,high
I've had enough of the runaround. Escalate this immediately.,0.868,0.999,0.573,0.129,0.711,0.191,0.157,escalation_request,low,sad,calm,high,high,high,high,True,high,slow,True,low
What exactly do I need to do to resolve this issue?,0.036,0.264,0.536,0.454,0.272,0.535,0.155,clarification,medium,reassuring,neutral,low,medium,low,low,False,high,normal,False,high
Your representatives have been unhelpful. Get me a manager now.,0.681,0.734,0.21,0.005,0.916,0.082,0.104,escalation_request,medium,empathetic,calm,high,medium,high,high,True,low,normal,False,low
What's the expected delivery time for international orders?,0.06,0.188,0.104,0.715,0.362,0.637,0.156,inquiry,high,neutral,neutral,low,low,low,low,False,low,fast,False,low
"If this isn't resolved today, I'm taking this to consumer protection.",0.901,0.783,0.393,0.027,0.54,0.218,0.099,escalation_request,low,sad,calm,high,high,high,high,True,medium,slow,True,low
I demand to speak with someone who can actually help me.,0.718,0.892,0.506,0.032,0.805,0.041,0.15,escalation_request,medium,sad,calm,high,medium,high,high,True,high,normal,False,low
This is the worst customer experience I've ever had. Completely unacceptable.,0.794,0.974,0.128,0.017,0.641,0.079,0.049,complaint,low,sad,calm,high,high,high,medium,True,low,slow,False,low
I'm extremely disappointed with your service. My order #11111 is wrong item.,0.944,0.55,0.209,0.228,0.725,0.233,0.013,complaint,medium,empathetic,calm,high,medium,high,high,True,low,normal,True,low
What are the available options for billing?,0.098,0.007,0.025,0.953,0.142,0.513,0.223,inquiry,medium,neutral,neutral,low,medium,low,low,False,low,normal,False,low
"If this isn't resolved today, I'm taking this to consumer protection.",0.674,0.96,0.209,0.133,0.982,0.168,0.187,escalation_request,medium,empathetic,calm,high,medium,high,high,True,low,normal,False,low
I'm so grateful for your help. You made my day!,0.005,0.042,0.052,0.919,0.098,0.051,0.896,praise,high,friendly,friendly,low,low,low,low,False,low,fast,False,low
This is the worst customer experience I've ever had. Completely unacceptable.,0.519,0.739,0.286,0.292,0.804,0.105,0.023,complaint,medium,empathetic,calm,high,medium,high,medium,True,low,normal,False,low
I've had enough of the runaround. Escalate this immediately.,0.576,0.69,0.3,0.17,0.781,0.157,0.023,escalation_request,medium,empathetic,calm,high,medium,high,high,True,low,normal,False,low
Your support team is fantastic. Keep up the great work!,0.086,0.072,0.014,0.912,0.054,0.016,0.837,praise,low,friendly,friendly,low,high,low,low,False,low,slow,False,low
I can't believe how poorly I've been treated. This is ridiculous!,0.691,0.499,0.478,0.255,0.835,0.139,0.082,complaint,low,neutral,calm,high,high,high,medium,True,medium,slow,False,low
I'd like to know more about your starter service. Can you help?,0.13,0.109,0.025,0.756,0.342,0.484,0.116,inquiry,high,neutral,neutral,low,low,low,low,False,low,fast,False,low
I'm extremely disappointed with your service. My order #13579 is missing.,0.872,0.521,0.203,0.049,0.665,0.227,0.104,complaint,high,sad,calm,high,low,high,high,True,low,fast,True,low
My account has been charged incorrectly 2 times now. Fix this!,0.523,0.927,0.452,0.261,0.619,0.135,0.197,complaint,low,empathetic,calm,high,high,high,medium,True,medium,slow,False,low
I read the FAQ but I'm still confused about upgrades.,0.232,0.111,0.226,0.486,0.373,0.515,0.249,clarification,medium,neutral,neutral,low,medium,low,low,False,low,normal,False,high
How do I update my account information?,0.021,0.131,0.329,0.69,0.333,0.686,0.161,inquiry,low,neutral,neutral,low,high,low,low,False,medium,slow,False,low
I demand to speak with someone who can actually help me.,0.762,0.715,0.517,0.116,0.817,0.239,0.079,escalation_request,high,empathetic,calm,high,low,high,high,True,high,fast,False,low
What are your business hours for customer support?,0.183,0.107,0.063,0.848,0.338,0.427,0.357,inquiry,low,neutral,neutral,low,high,low,low,False,low,slow,False,low
Your representatives have been unhelpful. Get me a manager now.,0.953,0.711,0.593,0.028,0.601,0.055,0.179,escalation_request,high,sad,calm,high,low,high,high,True,high,fast,True,low
I appreciate the prompt response. You guys are great!,0.065,0.015,0.088,0.885,0.008,0.176,0.941,praise,low,friendly,friendly,low,high,low,low,False,low,slow,False,low
I want this escalated to your highest level. This is unacceptable.,0.753,0.987,0.367,0.197,0.834,0.19,0.033,escalation_request,high,sad,calm,high,low,high,high,True,medium,fast,False,low
I don't understand the email you sent. Could you clarify what you mean?,0.265,0.271,0.265,0.305,0.268,0.511,0.316,clarification,high,calm,neutral,low,low,low,low,False,low,fast,False,high
I want to file a formal complaint and speak to a supervisor.,0.945,0.632,0.493,0.037,0.929,0.246,0.108,escalation_request,medium,empathetic,calm,high,medium,high,high,True,medium,normal,True,low
My account has been charged incorrectly 4 times now. Fix this!,0.826,0.589,0.288,0.246,0.73,0.107,0.099,complaint,medium,sad,calm,high,medium,high,high,True,low,normal,True,low
The error message says 'Connection timeout'. What does this mean?,0.248,0.234,0.27,0.585,0.348,0.34,0.172,clarification,medium,neutral,neutral,low,medium,low,low,False,low,normal,False,high
This has gone on too long. Please escalate my case to management.,0.571,0.739,0.38,0.15,0.826,0.186,0.07,escalation_request,medium,empathetic,calm,high,medium,high,high,True,medium,normal,False,low
What are your business hours for customer support?,0.168,0.094,0.392,0.817,0.138,0.57,0.198,inquiry,medium,neutral,neutral,low,medium,low,low,False,medium,normal,False,low
The error message says 'Access denied'. What does this mean?,0.206,0.128,0.27,0.642,0.168,0.635,0.184,clarification,high,neutral,neutral,low,low,low,low,False,low,fast,False,high
Can you walk me through the process one more time?,0.193,0.378,0.405,0.422,0.164,0.313,0.191,clarification,low,reassuring,neutral,medium,high,low,low,False,medium,slow,False,high
I'm lost. Can you help me understand what went wrong?,0.196,0.475,0.548,0.606,0.337,0.566,0.178,clarification,low,calm,neutral,medium,high,low,low,False,high,slow,False,high
Excellent service! I'll definitely recommend you to others.,0.091,0.067,0.112,0.733,0.045,0.092,0.959,praise,high,friendly,friendly,low,low,low,low,False,low,fast,False,low
I'm lost. Can you help me understand what went wrong?,0.164,0.252,0.591,0.344,0.227,0.317,0.322,clarification,low,reassuring,neutral,low,high,low,low,False,high,slow,False,high
I'm interested in learning about your pricing plans.,0.184,0.056,0.343,0.646,0.373,0.602,0.341,inquiry,high,neutral,neutral,low,low,low,low,False,medium,fast,False,low
Your team resolved my issue so quickly. Amazing!,0.002,0.096,0.145,0.791,0.083,0.056,0.962,praise,medium,friendly,friendly,low,medium,low,low,False,low,normal,False,low
This is unacceptable! I've been waiting for 5 days and still no response.,0.468,0.822,0.316,0.029,0.621,0.004,0.094,complaint,high,empathetic,calm,high,low,high,medium,True,medium,fast,False,low
This needs management attention. Regular support isn't cutting it.,0.651,0.839,0.319,0.06,0.872,0.014,0.181,escalation_request,low,empathetic,calm,high,high,high,high,True,medium,slow,False,low
I followed your advice but it didn't work. What am I missing?,0.256,0.367,0.437,0.657,0.156,0.332,0.172,clarification,high,reassuring,neutral,medium,low,low,low,False,medium,fast,False,high
My account has been charged incorrectly 5 times now. Fix this!,0.877,0.421,0.333,0.299,0.928,0.156,0.013,complaint,medium,empathetic,calm,high,medium,high,high,True,medium,normal,True,low
How do I update my account information?,0.166,0.12,0.046,0.547,0.373,0.568,0.349,inquiry,low,neutral,neutral,low,high,low,low,False,low,slow,False,low
What exactly do I need to do to resolve this issue?,0.264,0.329,0.407,0.472,0.195,0.474,0.332,clarification,high,reassuring,neutral,medium,low,low,low,False,medium,fast,False,high
The error message says 'Invalid credentials'. What does this mean?,0.181,0.457,0.377,0.543,0.289,0.537,0.311,clarification,low,reassuring,neutral,medium,high,low,low,False,medium,slow,False,high
I read the FAQ but I'm still confused about billing.,0.071,0.305,0.242,0.454,0.246,0.561,0.385,clarification,high,neutral,neutral,medium,low,low,low,False,low,fast,False,high
I demand to speak with someone who can actually help me.,0.8,0.897,0.403,0.127,0.535,0.076,0.072,escalation_request,low,empathetic,calm,high,high,high,high,True,medium,slow,False,low
"If this isn't resolved today, I'm taking this to consumer protection.",0.736,0.618,0.256,0.055,0.986,0.099,0.096,escalation_request,high,empathetic,calm,high,low,high,high,True,low,fast,False,low
I want this escalated to your highest level. This is unacceptable.,0.598,0.844,0.312,0.041,0.758,0.002,0.002,escalation_request,low,empathetic,calm,high,high,high,high,True,medium,slow,False,low
Excellent service! I'll definitely recommend you to others.,0.022,0.004,0.022,0.802,0.08,0.114,0.854,praise,low,friendly,friendly,low,high,low,low,False,low,slow,False,low
The error message says 'Access denied'. What does this mean?,0.088,0.473,0.359,0.335,0.285,0.346,0.204,clarification,high,calm,neutral,medium,low,low,low,False,medium,fast,False,high
"If this isn't resolved today, I'm taking this to consumer protection.",0.754,0.95,0.397,0.14,0.996,0.039,0.055,escalation_request,high,empathetic,calm,high,low,high,high,True,medium,fast,False,low
"Hi, could you please tell me the status of my order #11111?",0.079,0.084,0.164,0.954,0.314,0.543,0.193,inquiry,medium,neutral,neutral,low,medium,low,low,False,low,normal,False,low
Your support team is fantastic. Keep up the great work!,0.082,0.096,0.164,0.7,0.064,0.01,0.777,praise,medium,friendly,friendly,low,medium,low,low,False,low,normal,False,low
